now playing "visualstudiocode"
[2024-01-23T09:32:51Z DEBUG ytest2::hooks] entered level
[2024-01-23T09:32:51Z DEBUG ytest2::hooks::reset_level_orig] initializing level
[2024-01-23T09:32:56Z INFO  ytest2::hooks] exited level
now playing "old_death_corridor"
[2024-01-23T09:33:11Z DEBUG ytest2::hooks] entered level
[2024-01-23T09:33:11Z DEBUG ytest2::hooks::reset_level_orig] initializing level
[2024-01-23T09:33:23Z INFO  ytest2::hooks] exited level
[2024-01-23T09:33:34Z DEBUG ytest2::hooks] entered level
[2024-01-23T09:33:35Z DEBUG ytest2::hooks::reset_level_orig] initializing level
[2024-01-23T09:33:52Z INFO  ytest2::hooks] exited level
now playing "Chromaside"
[2024-01-23T09:34:07Z DEBUG ytest2::hooks] entered level
[2024-01-23T09:34:08Z DEBUG ytest2::hooks::reset_level_orig] initializing level
[2024-01-23T09:34:48Z INFO  ytest2::hooks] exited level
now recording "congregation_ai"
[2024-01-23T09:35:09Z DEBUG ytest2::hooks] entered level
[2024-01-23T09:35:10Z DEBUG ytest2::hooks::reset_level_orig] initializing level
